UNITID,FIRST_YEAR_RET_RATE,GRAD_RATE_WITHIN_150,COMP_TRAN_RATE,OUTCOME_EFFICIENCY_INDEX,FALL_ENROLLMENT_TOTAL,cluster,similarity
190840,0.5764430577223089,0.3,0.337525354969574,0.904793062,6606,Far Cluster,-0.3008343832800206
141796,0.5366120218579234,0.22,0.3322490706319702,0.956153735,5914,Far Cluster,-0.30651913589295454
105792,,0.16,0.1691948658109685,1.025119293,4516,Far Cluster,-0.3087869615784405
198455,0.5242369838420108,0.45,0.2529696436427628,1.164990722,5157,Far Cluster,-0.31858043520094337
186034,0.546772069,0.19,0.1757246376811594,0.949014753,4782,Far Cluster,-0.34502715715670257
195058,0.571917808,0.29,0.3179723502304147,1.06878677,5364,Far Cluster,-0.3490187975768665
125170,0.4556786703601108,0.36,0.2109523809523809,0.753586198,6278,Far Cluster,-0.3498719508545812
119067,0.5442622950819672,0.4,0.150219298245614,0.586104173,7173,Far Cluster,-0.3594077649570649
117715,0.2834394904458598,0.34,0.1829380967046504,0.444158624,5371,Far Cluster,-0.3624480192472559
167905,0.5570680628272251,0.32,0.3703125,1.068909143,5447,Far Cluster,-0.38152738208374326
112686,0.3826247689463956,0.27,0.1855800964711856,0.637260748,5225,Far Cluster,-0.38220857594312196
142443,0.5625920471281296,0.38,0.2971360381861575,1.248943888,4585,Far Cluster,-0.38674849484560947
167376,0.555045872,0.21,0.2218721872187218,0.884874091,4721,Far Cluster,-0.41801969787766113
160649,0.3798076923076923,0.1,0.1841509433962264,0.685481471,2951,Far Cluster,-0.420968091732426
111434,0.4664351851851852,0.47,0.2094614698006545,0.52752597,6625,Far Cluster,-0.4262744006875863
161864,0.3698224852071006,0.17,0.3274087932647334,0.568583296,4375,Far Cluster,-0.4344894902395139
209074,0.5263157894736842,0.29,0.167002591419522,0.762002173,5242,Far Cluster,-0.4349680403825597
194240,0.583941606,0.25,0.3002386634844868,0.764924061,5704,Far Cluster,-0.44019083759107724
208406,0.5330549756437022,0.23,0.3084753263996459,0.76834652,5545,Far Cluster,-0.4446596313793123
166647,0.5300429184549357,0.17,0.2651312265666845,0.821823786,4578,Far Cluster,-0.4455610208607238
208318,0.5558546433378196,0.25,0.2564102564102564,1.000905691,4332,Far Cluster,-0.4484057029620032
144157,0.4137931034482758,0.31,0.2679425837320574,0.853911426,3274,Far Cluster,-0.4971600194813102
