UNITID,FIRST_YEAR_RET_RATE,GRAD_RATE_WITHIN_150,COMP_TRAN_RATE,OUTCOME_EFFICIENCY_INDEX,FALL_ENROLLMENT_TOTAL
242556,0.7832167832167832,0.51,0.4634974533106961,2.1687096,216
242583,0.6911764705882353,0.73,0.018223234624145785,2.927832023,179
243841,0.4739583333333333,0.51,0.413447783,,439
244446,0.49498997995991983,0.44,0.3782467532467532,2.423719109,3282
246813,0.6071987480438185,0.51,0.4067439409905163,4.681350702,4459
262031,0.5880370682392586,0.25,0.25852713178294573,1.650219506,6143
364016,,0.19,0.2429660023446659,1.614568212,6148
366261,,0.55,0.5757575757575758,,254
366401,0.6687289088863893,0.53,0.29871367317770364,0.773558746,8103
367112,,0.19,0.21921515561569688,,8
367361,,0.24,0.1111111111111111,,65
367459,0.5093296475466482,0.31,0.2409762805087659,1.550689613,8412
373085,,0.65,0.6309523809523809,,42
377449,,0.75,,,203
377458,,0.73,0.6313559322033898,,163
378105,0.8301886792452831,0.67,0.8301158301158301,,631
382957,,0.5,0.4375,,502
383084,0.8834080717488789,0.77,,1.147045396,491
384342,0.6888888888888889,0.54,0.28895184135977336,1.883386406,4855
386153,0.5632183908045977,0.54,0.4413793103448276,,449
406024,0.47058823529411764,0.63,0.5947867298578199,,1465
407610,,0,0.2727272727272727,,22
412173,,0.42,0.5657657657657658,,558
414461,0.7875536480686696,0.72,0.564404062,,2302
417327,0.5294117647058824,1,0.6297709923664122,,362
418533,0.8367346938775511,0.91,0.782608696,4.504339932,279
418889,,1,0.9420289855072463,,61
419244,0.7090909090909091,0.33,0.46715328467153283,,249
420440,0.49868766404199477,0.34,0.3370165745856354,1.937348649,1875
